id;name;description;icon;icon_content_type;content;content_content_type;version;launch_id
1;Village Facilitator Switchable;Account grey;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;95008;1
2;haptic;optimizing Granite blue;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;97095;2
3;Bedfordshire applications;ivory;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2361;3
4;haptic quantify;Mission transmit;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;35654;4
5;Table supply-chains;cyan;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;99626;5
6;architect Applications upward-trending;SCSI Berkshire hard;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;90653;6
7;purple Legacy Euro;Brand Plastic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;74399;7
8;Wisconsin;primary Borders;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;77046;8
9;Bacon blue;Tasty alarm Books;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;54309;9
10;Corporate payment circuit;Brand programming;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;20733;10
