id;name;description;icon;icon_content_type
1;protocol interface;bandwidth;../fake-data/blob/hipster.png;image/png
2;Rial user-centric clear-thinking;Louisiana wireless invoice;../fake-data/blob/hipster.png;image/png
3;Forest;killer Credit;../fake-data/blob/hipster.png;image/png
4;project Frozen;GB state;../fake-data/blob/hipster.png;image/png
5;reboot Books;Technician;../fake-data/blob/hipster.png;image/png
6;Springs;index payment;../fake-data/blob/hipster.png;image/png
7;Account mindshare multimedia;circuit;../fake-data/blob/hipster.png;image/png
8;turquoise Stand-alone schemas;Producer Borders Account;../fake-data/blob/hipster.png;image/png
9;data-warehouse microchip;Loan Nevada;../fake-data/blob/hipster.png;image/png
10;Massachusetts Latvian;AI copy;../fake-data/blob/hipster.png;image/png
